92 17 0.28 0
0	0.099377	0.76706	1.4243	2.066	2.6872	3.283	3.8488	4.3803	4.8736	5.325	5.7312	6.0892	6.3966	6.651	6.8507	6.9943
0	0.11663	0.80142	1.4755	2.1337	2.7707	3.3816	3.9618	4.5068	5.0126	5.4753	5.8917	6.2587	6.5737	6.8344	7.0391	7.1863
0	0.13388	0.83579	1.5267	2.2013	2.8541	3.4802	4.0748	4.6332	5.1514	5.6256	6.0521	6.428	6.7507	7.0177	7.2273	7.3781
0	0.15113	0.87016	1.5779	2.2689	2.9376	3.5788	4.1877	4.7596	5.2903	5.7757	6.2124	6.5973	6.9275	7.2009	7.4154	7.5698
0	0.16839	0.90452	1.6291	2.3365	3.021	3.6774	4.3006	4.886	5.429	5.9258	6.3726	6.7664	7.1042	7.3839	7.6034	7.7612
0	0.18564	0.93889	1.6803	2.404	3.1044	3.7759	4.4135	5.0122	5.5677	6.0757	6.5327	6.9354	7.2808	7.5668	7.7912	7.9525
0	0.20289	0.97325	1.7315	2.4716	3.1878	3.8745	4.5264	5.1385	5.7063	6.2256	6.6927	7.1042	7.4573	7.7495	7.9788	8.1437
0	0.22014	1.0076	1.7827	2.5392	3.2712	3.973	4.6392	5.2647	5.8449	6.3754	6.8526	7.273	7.6336	7.932	8.1662	8.3346
0	0.23739	1.042	1.8339	2.6068	3.3546	4.0715	4.752	5.3908	5.9833	6.5252	7.0124	7.4416	7.8098	8.1144	8.3535	8.5253
0	0.25465	1.0763	1.885	2.6743	3.4379	4.1699	4.8647	5.5169	6.1218	6.6748	7.1721	7.6101	7.9858	8.2966	8.5405	8.7159
0	0.2719	1.1107	1.9362	2.7419	3.5213	4.2684	4.9774	5.643	6.2601	6.8243	7.3316	7.7784	8.1616	8.4787	8.7274	8.9063
0	0.28915	1.1451	1.9874	2.8094	3.6046	4.3668	5.0901	5.7689	6.3984	6.9738	7.4911	7.9467	8.3373	8.6606	8.9141	9.0964
0	0.3064	1.1794	2.0386	2.877	3.6879	4.4652	5.2027	5.8949	6.5366	7.1232	7.6504	8.1147	8.5129	8.8423	9.1007	9.2864
0	0.32366	1.2138	2.0897	2.9445	3.7712	4.5635	5.3153	6.0207	6.6747	7.2724	7.8096	8.2827	8.6883	9.0238	9.287	9.4762
